"id","text"
"am07is","Sämtliche Lernprozesse finden in unserem Arbeitsgedächtnis (auch Kurzzeitgedächtnis) statt. Dabei ist zu beachten, dass dem Arbeitsgedächtnis, genau wie bei physikalischen Anstrengungen des Körpers auch, nur eine begrenzte Ressourcenkapazität zur Verfügung steht. Die 'Cognitive-Load-Theory' stellt dieses Phänomen in den Fokus. Die Belastung des Arbeitsgedächtnisses kann in eine extrinsische und eine Intrinsische-Belastung aufgeteilt werden. Externe Faktoren, die den 'Arbeitsspeicher' beanspruchen, sind externe Reize, die im normalen Alltag auf uns einwirken und die wir nur schwer ausblenden können, da eine Reaktion auf eben diese externen Reize für gewöhnlich von immenser Bedeutung ist. Konkrete Beispiele sind die Verarbeitung von visuellen beziehungsweise auditiven Reizen. Während es im Straßenverkehr eine zwingende Voraussetzung ist, dass man auf beide Reize angemessen reagieren kann, ist eine zusätzliche Belastung dieser Reize während des Lernprozesses hinderlich. Nicht ohne Grund gibt es in der Bibliothek Bereiche, in denen das Reden beziehungsweise sonstige Lärmbelästigung strengstens untersagt ist. Beim Lernen geht es vor allem darum, neuen Input, der überwiegend visuell in Form von Texten erscheint, im Langzeitgedächtnis abzuspeichern. Je mehr Extrinsische-Belastung man beim Lernprozess jedoch ausgesetzt ist, desto weniger Platz ist für den neuen Input verfügbar. Bisher wurde die lediglich auf den negativen Einfluss externer Reize auf die den Lernerfolg eingegangen. Darüber hinaus gilt es jedoch auch, die Intrinsische-Belastung so gering wie möglich zu halten. Mit Intrinsische-Belastung ist jene Einwirkung von Reizen gemeint, die der Lernende selbst produziert und dabei seinen Arbeitsspeicher genau wie im Falle von externen Reizen unnötigen Arbeitsspeicher beraubt. Zu hoher Stress, unnötige Gedanken sind Beispiele für Intrinsische-Belastung. Weitere wesentliche Einflussfaktoren für den Lernerfolg stellen Vorwissen und Vorstellungsvermögen dar. Diese Faktoren machen es wesentlich einfacher neuen Inhalt aus dem Arbeitsspeicher mit dem Langzeitgedächtnis zu verknüpfen."
"au02ra","Als Cognitive-Load-Theory wird eine Theorie in der Bildungswissenschaft genannt, die sich auf die Informationsaufnahme und - verarbeitung und somit mit dem Wissenserwerb und dem damit zusammenhängenden Lernerfolg bezieht.  Die Cognitive-Load-Theory baut auf dem Verständnis auf, dass die Verarbeitung neuer verbaler, auditiver oder visueller Informationen auf verschiedenen Ebenen für den Lernenden ""belastend"" angesehen werden kann. ""Belastung"" muss in dieser Verwendung nicht negativ konnotiert verstanden werden, sondern sagt lediglich aus, dass eine Informationsaufnahme stattfindet. In der Cognitive-Load-Theory wird zwischen der extrinsischen und intrinsischen Belastung unterschieden. Extrinsisch bedeutet ""von außen kommend"", während intrinsisch als Gegensatz dazu, also als ""von innen kommend"" verstanden wird. Die Extrinsische-Belastung in der Cognitive-Load-Theory besteht aus der Fülle an verbalen, auditiven oder visuellen Informationen, während sich die Intrinsische-Belastung auf das Vorwissen bezieht. In diesem Zusammenhang muss ""Vorwissen"" in einem großen und allgemeinen Kontext verstanden werden, der auch die bekannte Umwelt und die damit verbundenen Naturgesetze mit einbezieht. Die Informationsaufnahme ist somit ein Abgleichen der extrinsischen mit der intrinsischen Belastung, die maßgeblich von der lernbezogenen Belastung beeinflusst wird. Diese beschreibt den Bereich der extrinsischen Belastung, der für den/die Empfänger/in des Informationsflusses relevant ist und in das Gedächtnis aufgenommen werden soll. Für den Lernerfolg ist ein ausgewogenes Verhältnis zwischen extrinsischer und Intrinsische-Belastung fördernd. Außerdem sollte die Extrinsische-Belastung im besten Falle nicht sehr viel höher sein als die Lernbelastung."
"au04te","Im Folgenden möchte ich euch das Modell der Cognitive-Load-Theory erklären. Diese Theorie beschreibt die beim Lernen auftretenden Belastungen, bedingt durch die geringe Spicherkapazität des Arbeitsgedächtnisses. Laut der Cognitive-Load-Theory gibt es drei verschiedene Formen der Belastung: Die Extrinsische-Belastung, die Intrinsische-Belastung und die Lernbezogene-Belastung. Hierbei beschreibt die Extrinsische-Belastung äußere Einflüsse, die dem effizienten Lernen entgegenwirken. Eine große Rolle spielt die Ablenkung. Diese wird zum Beispiel gefördert, wenn ein Text nicht klar strukturiert ist, da der Lernende seinen Fokus zuerst auf das ordnen des Textes legen muss, bevor er den Inhalt verarbeiten kann. Ein weiteres Beispiel wäre eine zu detaillierte Erklärung für einen Lernenden mit hohem Vorwissen. In diesem Fall würde der Lernende von einer Informationsflut dessen, was er bereits gelernt hat, abgelenkt werden. Die Intrinsische-Belastung in der Cognitive-Load-Theory beschreibt die Belastung, die auf eine zu komplexe Art des Lernens zurückzuführen ist. Hier kann man beispielsweise das Verständnislernen anbringen: diese Art des Lernens ist wesentlich effizienter als das reine Auswendiglernen von Informationen, bedeutet jedoch gleichzeitig eine höhere Belastung, da man die neuen Informationen mit bereits Gelerntem in Bezug setzen muss. Dies führt zu einer Integration des neuen Wissens und somit zu einer Verknüpfung und besserem Verständnis kommt. Die Lernbezogene-Belastung tritt bei einer Kombination von hoher intrinsischer und niedriger Extrinsische-Belastung zustande.  Demnach beschreibt die Cognitive-Load-Theory die Belastung, der das menschliche Gehirn, besonders das Arbeitsgedächtnis, ausgesetzt ist."
"ba09ne","Die ""Cognitive-Load-Theory""  ist eine Theorie, die zum besseren Verständnis des Lernprozesses beitragen soll. Sie erfasst das Gehirn als 3 Speicher, die einem Computer ähnlich aufgebaut sind. Zum einen gibt es den sensorischen Speicher, auch Kurzzeitspeicher genannt, dann den Arbeitsspeicher und zuletzt den Langzeitspeicher.  Im Kurzzeitspeicher werden sämtliche Informationen und Reize, die der Körper wahrnimmt aufgenommen. Er hat also eine unbegrenzte Kapazität. Die Sinnesreize werden von der sogenannten ""Exekutive"" sortiert. Die Exekutive sucht also die wichtigen Informationen aus dem großen Fluss der Sinnesreize heraus und leitet diese an den Arbeitsspeicher weiter, der Rest wird unbeachtet wieder vergessen. Der Arbeitsspeicher ist der Ort, an dem Informationen bearbeitet werden. Seine Kapazität ist auf 7+/-2 sogenannte ""Junks"" beschränkt. Ein Junk ist eine Art Informationsbündel, also Informationen, die untereinander verknüpft sind. Im Arbeitsspeicher werden die Informationen bearbeitet, indem sie mit Vorwissen aus dem Langzeitspeicher verknüpft werden. Dazu muss die Information über einen längeren Zeitraum aktiv im Arbeitsspeicher gehalten werden, denn wenn sie nicht bearbeitet wird, wird sie wieder gelöscht. Die Endstation des Gedächtnisses ist der Langzeitspeicher, hier wird sämtliches Wissen gespeichert und zum Verknüpfen im Arbeitsgedächtnis genutzt. In ihm können, wie im Kurzzeitspeicher, unendlich viele Informationen aufgenommen werden. Wenn etwas erst mal richtig im Langzeitspeicher verknüpft wurde, kann es auch nicht mehr vergessen werden."
"ch02ne","Die Cognitive-Load-Theory geht davon aus, dass der Speicher des Arbeitsgedächtnisses, welchesInformationen verarbeitet, begrenzt ist. Daher muss eine Lehrkraft darauf achten, dass sie die Speicherung nicht überfordert. Dies kann passieren, wenn der Schüler zu vielen Belastungen auf einmal ausgesetzt ist. Man unterscheidet in drei Arten von Belastung. Den germane ( lernbezogenen), den extrinsic und den Intrinsic-Load.  Unter dem Extrinsic-Load versteht man jene Belastung, die ausschließlich von außen kommt und den Schüler so am Lernen hindert. Zum Beispiel zu viel Lärm, keine konzentrierte Arbeitsatmosphäre oder Ablenkung anderer Art. Dieser kann vom Lehrenden beeinflusst werden. Der Lehrende sollte darauf achten, diese Belastung so gering wie möglich zu halten, um dem zu Lehrenden ein besseres Lernen zu ermöglichen.  Der Intrinsic-Load bezeichnet die Belastung, die zum Verstehen eines Themas auf den Schüler einwirkt. Sie ist stark abhängig vom Vorwissen des Schülers. Hat ein Schüler also hohes Vorwissen zu einem Thema, welches er bearbeiten muss, ist der Intrinsic-Load gering, d.h. er muss keine hohe kognitive Arbeit aufwenden, um das Thema zu verstehen, da er es leicht mit bereits Gelerntem verknüpfen kann. Der Germane-Load bezeichnet die kognitive Belastung eines Schülers beim Lernen und Verarbeiten des tatsächlich zu lernenden Stoffes. Also den kognitiven Aufwand zur Verknüpfung mit bereits gelernten Themen, dem Verstehen des aktuellen Themas und das Einordnen des Themas in den Gesamtzusammenhang des Faches. Auch diese Belastung ist vom Lehrenden beeinflussbar, zum Beispiel durch klare Erklärungen, stimmige Präsentation und Umfang und Zusammenhang der einzelnen Elemente.  Insgesamt sollte man darauf achten, dass der extrinsic und Intrinsic-Load möglichst gering gehalten werden, während der Germane-Load möglichst hoch sein sollte. Ist eine der anderen beiden Belastungen zu hoch, geht Speicherplatz und somit Kapazität für den Germane-Load verloren, was zu einem ineffizienten Lernen führt."
"ch05na","Die Cognitiv Load Theory bezeichnet eine Methode, welche eine Überblick über das Lernen bietet. Hierbei zunächst ein paar Erläuterungen. Unter einer intrinischen Belastung versteht man die Lernbelastung, beziehungsweisewie hoch oder niedrig das Vorwissen der jeweiligen Person ist. Die extrinische Belastung dagegen bezeichnet die Informationen, die im Gehirn verarbeitet werden, aber eigentlich nicht zum gelingen der Aufgabe beitragen. Ein Beispiel wäre dass man einen Text lesen soll und danach eine Zusammmenfassung schreibt. Der Text ist relativ anspruchsvoll und das Vorwissen eher gering. So ist die intrinische Belastung hoch. Nebenbei laufen viele Personen im Zimmer herum und man hört Musik. Die extrinische Belastung ist also auch sehr hoch. So kann man sich nicht ausreichend auf die eigentliche Aufgabe konzentrieren, denn man ist abgelenkt. Warum kann man das nicht? eingehende Informationen werden durch den sensorischen Speicher gefiltert, btw. dort wird der Information eine Bedeutung zugeteilt. Diese Bedeutung kann als wichtig, oder unwichtig gesehen werde. Bekommt sie eine wichtige Bedeutung, wird diese Information weiter an den Arbeitsspeicher, auch Kurzzeitgedächtnis genannt, geleitet. Im Kurzzeitgedächtnis stehen allerdings nur begrenzte Kapazitäten zur Verfügung. Das heißt, die Informationen können nur sehr kurz gespeichert werden (Sekundenbereich), es sei denn, man wiederholt sie sehr oft und denkt so aktiv daran (phonologische Schleife). Um die eigenhenden Informationen einordnen zu können, bildet sich jedes Individuum eigene Schemata. Diese Schemata sind abstrakte Wissenskonstrukte. Diese Schemata werden aus dem Langzeitgedächtnis zu Hilfe gezogen, dort hat man einen unbegrenzten Speicherplatz und die dort gespeicherten Informationen gehen nicht mehr verloren."
"ch05th","Die Cognitive-Load-Theory erklärt, wie unser Gedächtnis Informationen verarbeitet und dadurch lernt. Sie unterscheidet dabei verschiedene Arten von Belastungen, auf englisch: loads. Es gibt zum Beispiel den ""Intrinsic-Load"" eines Lerngegenstands, das ist die Komplexität des Lerngegenstands an sich, also z.B. dass es für Schüler schwierig ist eine mathematische Formel zu verstehen und zu lernen. Diese Intrinsische-Belastung liegt also in der Komplexität der mathematischen Formel und kann nicht verändert werden.  Allerdings gibt es auch den ""Extrinsic-Load"", also die Extrinsische-Belastung im Lernprozess. Das ist dann alles ""drumrum"", also wie die mathematische Formel vermittelt wird. Zum Beispiel ist diese Extrinsische-Belastung hoch wenn ein Mathematiker von der Uni in wissenschaftlicher Sprache versucht Schülern im Frontalunterricht diese Formel beizubringen. Diese äußeren Umstände sind aber veränderbar und sollten somit die Extrinsische-Belastung zu niedrig wie möglich halten, d.h. das Lernsetting ist so lernfreundlich wie möglich zu gestalten. In unserem Beispiel wäre das z.B. mit den Schülern zusammen Dreiecke auszuschneiden und zu legen, damit sie begreifen können wie die Seiten aneinander passen und warum die entsprechende mathematische Formel sich daraus ableitet. Dann wäre die Extrinsische-Belastung niedrig. Wenn beides hoch ist, kommt es zu einem ""cognitive overload"" und die Schüler lernen gar nichts beziehungsweise nur sehr wenig, weil ihr Gedächtnis überlastet ist. Die Lernbezogene-Belastung ist der Lernprozess an sich, und hängt eng mit der extrinsischen Belastung zusammen. Das ist einfach die Bezeichnung dafür, dass unser Gedächtnis sich anstrengen muss, etwas neues zu verstehen und zu behalten."
"ch05tr","Das Gedächtnis kann in verschiedene Bereiche unterteilt werden. Eintreffende Informationen gelangen in das Ultrakurzzeitgedächtnis. Dort wird entschieden welche Informationen weiterverarbeitet und welche aussortiert werden. Wird eine Information weiterverarbeitet, so gelangt sie ins Arbeitsgedächtnis. Im Arbeitsgedächtnis kann die Information durch Wiederholung aufrechterhalten und ins Langzeitgedächtnis übertragen werden. Das Arbeitsgedächtnismodell von Baddely beschreibt das Arbeitsgedächtnis etwas detaillierter. In der Phonologischen Schleife werden visuelle Reize verarbeitet. Im Räumlich-visuellen Notizblock hingegen eher auditive Reize. Zusätzlich gibt es noch einen episodischen Puffer, der für die Speicherung episodischer Erlebnisse zuständig ist. Diese drei Subsysteme werden von der Zentralen Executive kontrolliert und gesteuert. Die Cognitive-Load-Theory bezieht sich vor allem auf die Phonologische Schleife und den Episodischen Puffer. Verdeutlichen lässt sich dies an einem Beispiel. Lernen wir die neue Vokabel ""Baum"", so verinnerlichen wir diese deutlich besser, wenn wir dabei auch einen Baum betrachten oder das Bild eines Baumes  anschauen. Die Intrinsische-Belastung ist dann hoch, das heißt wir lernen besser. Werden wir beim Lernen aber durch andere Reize gestört, die nichts mit der eigentlichen Aufgabe zu tun haben, so ist die Lernbelastung höher und das lernen nicht so effektiv."
"do12an","Mit dem Prinzip der Cognitive-Load-Theory prbiert man zu erklären, wie Schüler am besten lernen können. Die Grundannahme ist dabei, dass dem menschlichen Gedächtnis nur eine begrenzte Kapazität zur Verfügung steht und es daher wichtig ist diese möglichst effektiv, also lernförderlich zu nutzen.  Man unterscheidet in dabei in 3 sogenannte ""Belastungen"". Zum Einen die Intrinsische-Belastung, welche dadurch charakterisiert ist, dass sie umso höher ist je komplexer die Aufgabenstellung ist und dementsprechend Aufgaben an das Vorwissen der Schüler angepasst werden sollten, sodass diese Belastung nicht zu hoch ausfällt.  Das dazugehörige Pendant dazu ist die Extrinsische-Belastung. Mit ihr werden Aufgaben-irrelevante Aspekte beschrieben, die aber dennoch die Aufmerksamkeit beanspruchen. Zum Beispiel sollen die Schüler eine Powerpoint-Präsentation zum einem bestimmten Thema gestalten, kann diese Methode der hinderlich für das Lernen des zu behandelnden Themas sein, da die Schüler auch Aufmerksamkeit auf das Erstellen der Präsentation verwenden müssen. Als letzte Belastung ist dann noch die Germane-Load, oder auch Lernbezogene-Belastung zu nennen, welche sich zusammensetzt aus der extrinsischen und intrinsischen Belastung.  Um nun den Prozess des effektiven Lernens bestmöglich auszuführen, sollte demnach eine Maximierung der lernbezogenen und eine Minimierung der extrinsischen Belastung angestrebt werden."
"dt07na","Die Cognitive-Load-Theory ist eine Theorie über das Lernverhalten in der Bildungswissenschaft. Man geht davon aus das verschiedene Faktoren die Lernenden unterstützen, beziehungsweisehindern beim erlernen von neuem Wissen. Um den Bezug zur Kognitive Load Theory zu nehmen braucht man das Vorwissen, wie die Informationsaufnahme im Gehirn statt findet.Das Gedächtnis ist in 3 Arbeitsbereiche unterteilt, in denen die Wissensverarbeitung statt findet. Zum einen werden neue Informationen direkt aufgenommen und im Kurzzeitgedächtnis nur wenige Sekunden gespeichert. Nur wenn hierbei wichtige Informationen rausgefiltert werden oder ähnliche Informationen die zu bereits gespeicherten Informationen passen werden sie ins Arbeitsgedächtnis übernommen. Das Arbeitsgedächtnis hat nur eine begrenzte Aufnahmekapazität, deswegen muss hier eine Verknüpfung zu dem Vorwissen statt finden, sodass es ins Langzeitgedächtnis übernommen wird. Das Arbeitsgedächtnis hat nur eine geringe Aufnahmekapazität. Was von hier aus nicht ins Langzeitgedächtnis abgelegt wird, fällt wieder raus. Das Langzeitgedächtnis ist der Teil der unbegrenzte Kapazitäten aufweist. Was einmal hierher kommt, kann immer wieder abgerufen werden.  Wenn man den Ablauf der Informationsaufnahme verstanden hat, kann man die Ansätze von der Cognitive-Load-Theory besser nachvollziehen. Hierbei werden auf die äußeren Faktoren bei der Wissensaufnahme eingegangen. Es gibt Extrinsische-Belastungen die die Informationsaufnahme erschweren. Damit meint man Belastungen die von außen auf einen einwirken. Eine Lehrkraft hat verschiedene Konzepte sein Wissen den Schülern zu vermitteln. Wenn jedoch die äußeren Belastungen, wie z.B. eine Powerpointfolie mit zu viel Text vom Lehrer gezeigt wird, fällt es den Schülern schwer dem Stoff zu folgen, da sie ihm nicht mehr folgen können, sondern mit dem Lesen der Folien beschäftigt sind. Die zweite Belastung ist die Intrinsische-Belastung, welche die eigenen Belastungen beschreibt. Ein Schüler kann  nur dann sich das Wissen aneignen, wenn er bestimmtes Vorwissen mit bringt. Fehlt ihm dieses Vorwissen fällt es ihm schwer dem Unterrichtsverlauf zu folgen und neues Wissen zu erlernen. Eine weitere Belastung können Lernbezogene-Belastungen sein. Hierbei versteht man die Schwierigkeit sich wissen anzueignen, wenn der Stoff nicht gut vorbereitet ist und die Schüler dem Unterrichtsverlauf nicht folgen können."
